topic,term,weight
000,nick,0.12175462
000,bugger,0.027636353
000,feel,0.024917398
000,ojibways,0.022065153
000,nice,0.021822877
000,home,0.021994295
000,father,0.019570647
000,battalion,0.018137585
000,come,0.01878389
000,worry,0.020576585
001,fontan,0.14681236
001,madame,0.07066093
001,wine,0.07497295
001,drink,0.051859446
001,catholique,0.035556365
001,bottle,0.03249661
001,bring,0.030176349
001,head,0.023088332
001,night,0.027772583
001,shake,0.018641438
002,doctor,0.12039192
002,wilcox,0.07927733
002,doc,0.056103267
002,fischer,0.056025203
002,boy,0.040030316
002,horace,0.03315068
002,captain,0.0269702
002,dead,0.027975546
002,ask,0.03776938
002,smart,0.023455435
003,drink,0.11076898
003,sir,0.07676912
003,café,0.034308642
003,client,0.03049917
003,permit,0.029793961
003,table,0.030327074
003,night,0.037038937
003,bottle,0.035100944
003,waitress,0.027342964
003,coffee,0.023362191
004,understand,0.070171796
004,love,0.0608557
004,prove,0.060535744
004,ask,0.0660038
004,boy,0.046684206
004,girl,0.041295554
004,night,0.04288401
004,make,0.036574498
004,talk,0.02775804
004,dead,0.023439048
005,big,0.114876635
005,small,0.0727411
005,dark,0.049013585
005,kill,0.03953967
005,thin,0.027769208
005,frances,0.029203827
005,head,0.02335164
005,touch,0.018709563
005,mount,0.019218897
005,nickie,0.018159835
006,back,0.16259785
006,leave,0.05165596
006,absolutely,0.047761276
006,wrong,0.04713228
006,morning,0.047292363
006,send,0.0418822
006,bed,0.035384435
006,headache,0.032593917
006,shoot,0.040727805
006,tell,0.031551987
007,billy,0.12680162
007,shoot,0.08491052
007,brother,0.05884825
007,long,0.050340746
007,time,0.04758083
007,frances,0.042618256
007,trudy,0.037542026
007,hear,0.032109797
007,bitch,0.017512271
007,luck,0.01948478
008,money,0.16389048
008,pay,0.10432219
008,cash,0.05848262
008,box,0.05836253
008,make,0.061333224
008,writer,0.03837037
008,business,0.03709314
008,fear,0.03601096
008,soul,0.034466393
008,account,0.03099229
009,beer,0.15634921
009,bad,0.14892897
009,bring,0.107123226
009,luck,0.060370974
009,bottle,0.059827313
009,vice,0.032988545
009,commence,0.03167779
009,mine,0.030108087
009,leg,0.024999449
009,wine,0.031913146
010,porter,0.20564143
010,johnson,0.18259224
010,monsieur,0.09901315
010,divorce,0.07298295
010,speak,0.04438636
010,marry,0.042081755
010,ask,0.04314949
010,explain,0.02658087
010,french,0.02316613
010,waitress,0.022815287
011,frazer,0.17214638
011,write,0.16154122
011,mexican,0.048264723
011,thin,0.046993643
011,sister,0.040419593
011,play,0.03257266
011,think,0.027014246
011,time,0.03204703
011,long,0.031442024
011,chapel,0.021347312
012,wife,0.34901878
012,good,0.24739484
012,player,0.06697583
012,card,0.051444154
012,johnson,0.055945676
012,waiter,0.032495398
012,amusement,0.029116387
012,sport,0.028881937
012,cook,0.02149336
012,hurry,0.020992564
013,hundred,0.47641796
013,tenth,0.12638196
013,franc,0.11993482
013,long,0.06638768
013,matt,0.04010642
013,swiss,0.039656326
013,give,0.04112174
013,hear,0.03115101
013,hateful,0.017154552
013,time,0.019457307
014,saint,0.46082047
014,encourage,0.18290843
014,happy,0.10520486
014,frazer,0.07874488
014,perfectly,0.059703447
014,morning,0.046455793
014,girl,0.028967345
014,leave,0.016451657
014,funny,0.0072401855
014,want,0.0029264078
